Source,Target,Type,Weight
DUMBLEDORE,MCGONAGALL,,1
HAGRID,DUMBLEDORE,,1
HAGRID,MCGONAGALL,,1
AUNT PETUNIA,DUDLEY,,1
AUNT PETUNIA,HARRY,,1
UNCLE VERNON,DUDLEY,,1
UNCLE VERNON,AUNT PETUNIA,,1
HARRY,DUDLEY,,1
HARRY,AUNT PETUNIA,,1
SNAKE,HARRY,,1
HAGRID,AUNT PETUNIA,,1
HAGRID,HARRY,,1
HAGRID,DUDLEY,,1
HAGRID,UNCLE VERNON,,1
TOM (BARTENDER),HARRY,,1
TOM (BARTENDER),HAGRID,,1
DORIS,HARRY,,1
QUIRRELL,HARRY,,1
HAGRID,QUIRRELL,,1
GOBLIN,HARRY,,1
GOBLIN,HAGRID,,1
GRIPHOOK,HARRY,,1
GRIPHOOK,HAGRID,,1
OLLI,HARRY,,1
HAGRID,VOLDEMORT,,1
HARRY,VOLDEMORT,,1
LILIAN POTTER,HARRY,,1
HAGRID,LILIAN POTTER,,1
MRS. WEASLEY,HARRY,,1
MRS. WEASLEY,GEORGE WEASLEY,,1
MRS. WEASLEY,FRED WEASLEY,,1
GINNY,HARRY,,1
FRED WEASLEY,GEORGE WEASLEY,,1
GINNY,GEORGE WEASLEY,,1
GINNY,RON WEASLEY,,1
GINNY,FRED WEASLEY,,1
GINNY,MRS. WEASLEY,,1
RON WEASLEY,MRS. WEASLEY,,1
RON WEASLEY,FRED WEASLEY,,1
RON WEASLEY,GEORGE WEASLEY,,1
RON WEASLEY,HARRY,,1
HERMIONE,HARRY,,1
HERMIONE,RON WEASLEY,,1
PEDRO PETTIGREW,RON WEASLEY,,1
PEDRO PETTIGREW,HERMIONE,,1
PEDRO PETTIGREW,HARRY,,1
HAGRID,RON WEASLEY,,1
NEVILLE,MCGONAGALL,,1
DRACO MALFOY,HARRY,,1
CRABBE,HARRY,,1
GOYLE,HARRY,,1
MCGONAGALL,DRACO MALFOY,,1